obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""497.8150""","=""""","=""1.1e-02""",E,"=""55939.421""","=""76021.601""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""501.5917""","=""""","=""2.0e-02""",E,"=""56090.626""","=""76021.601""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""504.5406""","=""""","=""1.6e-02""",E,"=""56090.626""","=""75905.112""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""5/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""505.9213""","=""""","=""6.3e-03""",E,"=""55939.421""","=""75699.831""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""1/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""506.1916""","=""""","=""1.5e-02""",E,"=""55939.421""","=""75689.282""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""507.9381""","=""507.9383""","=""100""","=""2.9e-02""",E,"=""56339.656""","=""76021.601""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""509.8221""","=""509.8225""","=""100""","=""2.9e-02""",E,"=""56090.626""","=""75699.831""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""1/2""",,"=""T1619CA,LS""","=""L5148""",
"=""510.0974""","=""510.0969""","=""100""","=""4.6e-03""",E,"=""56090.626""","=""75689.282""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""510.9628""","=""510.9625""","=""140""","=""3.4e-02""",E,"=""56339.656""","=""75905.112""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""5/2""",,"=""T1619CA,LS""","=""L5148""",
"=""515.4844""","=""515.4842""","=""140""","=""1.5e-02""",E,"=""56090.626""","=""75484.459""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""5/2""",,"=""T1619CA,LS""","=""L5148""",
"=""""","=""516.2266""","=""""","=""3.2e-02""",E,"=""56339.656""","=""75705.601""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""7/2""",,"=""T1619CA,LS""","=""""",
"=""516.2290""","=""""","=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""516.6619""","=""""","=""1.4e-02""",E,"=""56339.656""","=""75689.282""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""519.0424""","=""""","=""7.5e-03""",E,"=""56090.626""","=""75351.512""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""522.1896""","=""""","=""5.8e-03""",E,"=""56339.656""","=""75484.459""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""5/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""525.8412""","=""""","=""5.7e-04""",E,"=""56339.656""","=""75351.512""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""526.2060""","=""""","=""1.5e-02""",E,"=""57876.574""","=""76875.250""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""529.3539""","=""529.3537""","=""140""","=""5.8e-02""",E,"=""57876.574""","=""76762.279""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""1/2""",,"=""T1619CA,LS""","=""L5148""",
"=""""","=""533.2416""","=""""","=""1.08e-09""",C,"=""0.00""","=""18748.01""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",M1,"=""T761""","=""""",
"=""""","=""533.2416""","=""""","=""3.3e-15""",D,"=""0.00""","=""18748.01""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",E2,"=""T761""","=""""",
"=""""","=""533.9622""","=""""","=""4.26e-10""",C,"=""0.00""","=""18722.71""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",M1,"=""T761""","=""""",
"=""""","=""533.9622""","=""""","=""4.7e-14""",D,"=""0.00""","=""18722.71""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",E2,"=""T761""","=""""",
"=""534.5851""","=""534.5854""","=""180""","=""7.3e-02""",E,"=""58174.366""","=""76875.250""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""536.4631""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""537.8345""","=""""","=""2.7e-02""",E,"=""58174.366""","=""76762.279""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""1/2""",,"=""T1619CA,LS""","=""""",
"=""542.8094""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""545.8305""","=""545.8302""","=""140""","=""3.8e-02""",E,"=""57876.574""","=""76192.199""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""2D*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""547.7672""","=""547.7672""","=""180""","=""5.7e-02""",E,"=""58174.366""","=""76425.224""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2D*""","=""5/2""",,"=""T1619CA,LS""","=""L5148""",
"=""547.7860""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""547.8267""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""551.4774""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""551.6997""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""554.8516""","=""""","=""6.6e-03""",E,"=""58174.366""","=""76192.199""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2D*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""609.7690""","=""""","=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""619.9024""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""621.0499""","=""""","=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""637.5681""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""638.8579""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""667.374""","=""""","=""4.5e-02""",E,"=""64239.591""","=""79219.56""","=""3s2.3p2.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p2.(3P).5d""","=""2P""","=""1/2""",,"=""T1619CA,LS""","=""""",
"=""671.7411""","=""671.740""","=""100""","=""5.0e-02""",E,"=""64239.591""","=""79122.19""","=""3s2.3p2.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p2.(3P).5d""","=""2P""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""""","=""696.918""","=""""","=""2.0e-03""",E,"=""65373.556""","=""79718.49""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p2.(3P).5d""","=""4D""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""698.539""","=""""","=""1.4e-03""",E,"=""65450.125""","=""79761.77""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).5d""","=""4D""","=""5/2""",,"=""T1619CA,LS""","=""""",
